Warona Klaas | operation insert count 0 | operation find count = 15
Siphosethu Louw | operation insert count 9 | operation find count = 21
Ava Radebe | operation insert count 10 | operation find count = 21
Alwande Ndlovu | operation insert count 9 | operation find count = 21
Leano Baloyi | operation insert count 9 | operation find count = 19
Leah Chauke | operation insert count 9 | operation find count = 13
Aphelele Ngwenya | operation insert count 9 | operation find count = 17
Elijah Mathebula | operation insert count 10 | operation find count = 17
Leano Van | operation insert count 9 | operation find count = 23
Iminathi Mogale | operation insert count 9 | operation find count = 19
Faith Mosia | operation insert count 10 | operation find count = 19
Jayden Madikizela | operation insert count 12 | operation find count = 21
Onthatile Peter | operation insert count 9 | operation find count = 13
Amohelang Buthelezi | operation insert count 9 | operation find count = 25
Onthatile Davids | operation insert count 10 | operation find count = 23
Omaatla Maseko | operation insert count 8 | operation find count = 21
Angel Nhlapo | operation insert count 10 | operation find count = 19
Bokamoso Adams | operation insert count 9 | operation find count = 17
Jayden Ngwenya | operation insert count 9 | operation find count = 21
Oratilwe Dlamini | operation insert count 10 | operation find count = 21
Omphile Moloi | operation insert count 10 | operation find count = 21
Junior Nkuna | operation insert count 9 | operation find count = 19
Rorisang Booi | operation insert count 12 | operation find count = 19
Blessing Shabangu | operation insert count 9 | operation find count = 21
Banele Ngwenya | operation insert count 9 | operation find count = 21
Likuwe Klaas | operation insert count 10 | operation find count = 17
Phenyo Sithole | operation insert count 10 | operation find count = 15
Junior Mathebula | operation insert count 9 | operation find count = 21
Luthando Mogale | operation insert count 10 | operation find count = 17
Junior Cloete | operation insert count 10 | operation find count = 17
Sphesihle Mohlala | operation insert count 10 | operation find count = 17
Likuwe Moloi | operation insert count 9 | operation find count = 21
Kungawo Maluleke | operation insert count 9 | operation find count = 21
Naledi Klaas | operation insert count 10 | operation find count = 23
Bayanda Petersen | operation insert count 10 | operation find count = 17
Alunamda Mohlala | operation insert count 9 | operation find count = 19
Lesedi Nkuna | operation insert count 9 | operation find count = 17
Lingomso Williams | operation insert count 10 | operation find count = 21
Amahle Mokoena | operation insert count 10 | operation find count = 21
Siphesihle Buthelezi | operation insert count 9 | operation find count = 17
Caleb Shabangu | operation insert count 9 | operation find count = 19
Bandile Mosia | operation insert count 8 | operation find count = 23
Omphile Baloyi | operation insert count 9 | operation find count = 17
Onthatile Nkosi | operation insert count 9 | operation find count = 17
Banele Petersen | operation insert count 10 | operation find count = 19
Mpho Radebe | operation insert count 9 | operation find count = 11
Ofentse Mnisi | operation insert count 12 | operation find count = 21
Likuwe Daniels | operation insert count 10 | operation find count = 15
Asemahle Mudau | operation insert count 11 | operation find count = 17
Lingomso Nkosi | operation insert count 8 | operation find count = 17
Caleb Modise | operation insert count 10 | operation find count = 15
Enzokuhle Ngobeni | operation insert count 10 | operation find count = 21
Bonolo Smith | operation insert count 10 | operation find count = 15
Omolemo Mkhize | operation insert count 10 | operation find count = 23
Emihle Khoza | operation insert count 9 | operation find count = 17
Blessing Buthelezi | operation insert count 9 | operation find count = 19
Bonolo Davids | operation insert count 9 | operation find count = 17
Ofentse Ndlovu | operation insert count 8 | operation find count = 15
Remofilwe Mnisi | operation insert count 10 | operation find count = 21
Likuwe Ngwenya | operation insert count 10 | operation find count = 17
Angel Booysen | operation insert count 12 | operation find count = 21
Amahle Khoza | operation insert count 9 | operation find count = 17
Liam Ngcobo | operation insert count 10 | operation find count = 21
Katleho Mofokeng | operation insert count 10 | operation find count = 17
Asemahle Mkhize | operation insert count 10 | operation find count = 21
Khayone Jacobs | operation insert count 10 | operation find count = 23
Aphelele Mogale | operation insert count 10 | operation find count = 23
Iminathi Shabangu | operation insert count 10 | operation find count = 19
Ava Ngcobo | operation insert count 10 | operation find count = 15
Othalive Shabangu | operation insert count 10 | operation find count = 21
Othalive Jacobs | operation insert count 10 | operation find count = 23
Melokuhle Motaung | operation insert count 9 | operation find count = 21
Reatlegile Molefe | operation insert count 10 | operation find count = 19
Emihle Ndlovu | operation insert count 9 | operation find count = 25
Letlotlo Adams | operation insert count 10 | operation find count = 19
Mpho Witbooi | operation insert count 10 | operation find count = 23
Amogelang Ndou | operation insert count 9 | operation find count = 19
Ofentse Khoza | operation insert count 10 | operation find count = 23
Kamohelo Moloi | operation insert count 9 | operation find count = 17
Kamogelo Ndlovu | operation insert count 9 | operation find count = 17
Siphosethu Mnisi | operation insert count 10 | operation find count = 19
Omolemo Radebe | operation insert count 11 | operation find count = 21
Hlelokuhle Chauke | operation insert count 9 | operation find count = 19
Lebogang Buthelezi | operation insert count 10 | operation find count = 19
Noah Jack | operation insert count 10 | operation find count = 19
Phenyo Maluleke | operation insert count 9 | operation find count = 15
Lebogang Adams | operation insert count 10 | operation find count = 15
Ayabonga Daniels | operation insert count 10 | operation find count = 23
Letlotlo Maluleke | operation insert count 9 | operation find count = 19
Caleb Jack | operation insert count 10 | operation find count = 21
Kamogelo Baloyi | operation insert count 9 | operation find count = 17
Bokamoso Booi | operation insert count 10 | operation find count = 19
Relebohile Shabangu | operation insert count 11 | operation find count = 21
Emihle Khumalo | operation insert count 9 | operation find count = 21
Lethabo Mnisi | operation insert count 8 | operation find count = 23
Amohelang Mahlangu | operation insert count 10 | operation find count = 17
Asemahle Mathebula | operation insert count 9 | operation find count = 17
Noah Mathebula | operation insert count 10 | operation find count = 15
Luke Malatji | operation insert count 11 | operation find count = 17
Othalive Booysen | operation insert count 7 | operation find count = 19
Rethabile Booysen | operation insert count 11 | operation find count = 17
Oratile Jacobs | operation insert count 11 | operation find count = 21
Lingomso Ngwenya | operation insert count 11 | operation find count = 21
Lingomso Moloi | operation insert count 11 | operation find count = 23
Amohelang Tsotetsi | operation insert count 10 | operation find count = 19
Hlelokuhle Shabangu | operation insert count 4 | operation find count = 5
Siphosethu Maluleke | operation insert count 10 | operation find count = 17
Onthatile Mahlangu | operation insert count 11 | operation find count = 21
Lethabo Davids | operation insert count 10 | operation find count = 21
Amogelang Radebe | operation insert count 10 | operation find count = 19
Khayone Nhlapo | operation insert count 9 | operation find count = 21
Philasande Modise | operation insert count 10 | operation find count = 19
Phenyo Visagie | operation insert count 9 | operation find count = 19
Naledi Mosia | operation insert count 13 | operation find count = 23
Kungawo Mofokeng | operation insert count 12 | operation find count = 19
Karabo Booi | operation insert count 9 | operation find count = 17
Lingomso Booi | operation insert count 11 | operation find count = 19
Rethabile Jacobs | operation insert count 10 | operation find count = 19
Omaatla Modise | operation insert count 11 | operation find count = 17
Bonolo Motaung | operation insert count 9 | operation find count = 17
Phenyo Adams | operation insert count 10 | operation find count = 23
Jayden Madikizela | operation insert count 11 | operation find count = 19
Mpho Ndlovu | operation insert count 11 | operation find count = 19
Bonolo Maseko | operation insert count 9 | operation find count = 23
Letlotlo Adams | operation insert count 10 | operation find count = 19
Alunamda Mahlangu | operation insert count 10 | operation find count = 21
Banele Ndou | operation insert count 9 | operation find count = 9
Melokuhle Witbooi | operation insert count 10 | operation find count = 21
Ofentse Radebe | operation insert count 10 | operation find count = 17
Reatlegile Molefe | operation insert count 10 | operation find count = 19
Omaatla Mahlangu | operation insert count 11 | operation find count = 19
Lubanzi Nhlapo | operation insert count 9 | operation find count = 15
Ayabonga Hendricks | operation insert count 10 | operation find count = 21
Lingomso Nkuna | operation insert count 10 | operation find count = 21
Tshegofatso Dlamini | operation insert count 9 | operation find count = 19
Alunamda Peter | operation insert count 8 | operation find count = 21
Rethabile Jacobs | operation insert count 10 | operation find count = 19
Aphelele Gumede | operation insert count 9 | operation find count = 23
Alunamda Van | operation insert count 10 | operation find count = 19
Ava Booi | operation insert count 11 | operation find count = 19
Letlotlo Motaung | operation insert count 9 | operation find count = 19
Siphosethu Buthelezi | operation insert count 10 | operation find count = 21
Kungawo Gumede | operation insert count 10 | operation find count = 17
Siphesihle Beukes | operation insert count 10 | operation find count = 17
Lisakhanya Mohlala | operation insert count 9 | operation find count = 19
Kamogelo Buthelezi | operation insert count 10 | operation find count = 15
Faith Nhlapo | operation insert count 10 | operation find count = 17
Sphesihle Klaas | operation insert count 10 | operation find count = 19
Kungawo Mkhize | operation insert count 10 | operation find count = 17
Lebogang Mthembu | operation insert count 10 | operation find count = 15
Tshegofatso Motaung | operation insert count 10 | operation find count = 17
Othalive Molefe | operation insert count 11 | operation find count = 17
Elijah Mahlangu | operation insert count 9 | operation find count = 21
Luke Mohlala | operation insert count 10 | operation find count = 17
Philasande Dyantyi | operation insert count 10 | operation find count = 25
Amogelang Adams | operation insert count 10 | operation find count = 21
Phenyo Mahlangu | operation insert count 11 | operation find count = 21
Bokang Abrahams | operation insert count 9 | operation find count = 23
Reneilwe Maseko | operation insert count 10 | operation find count = 21
Kamogelo Baloyi | operation insert count 9 | operation find count = 19
Banele Ndou | operation insert count 9 | operation find count = 9
Enzokuhle Ndlovu | operation insert count 10 | operation find count = 23
Philasande Mokoena | operation insert count 9 | operation find count = 21
Banele Adams | operation insert count 11 | operation find count = 19
Relebohile Dyantyi | operation insert count 11 | operation find count = 21
Katlego Mthembu | operation insert count 10 | operation find count = 13
Siyabonga Mthembu | operation insert count 10 | operation find count = 17
Kungawo Davids | operation insert count 9 | operation find count = 21
Naledi Dyantyi | operation insert count 12 | operation find count = 19
Mpho Booi | operation insert count 10 | operation find count = 21
Alunamda Shabangu | operation insert count 10 | operation find count = 21
Relebohile Motaung | operation insert count 9 | operation find count = 19
Angel Khumalo | operation insert count 9 | operation find count = 17
Asemahle Mathebula | operation insert count 9 | operation find count = 17
Melokuhle Khoza | operation insert count 9 | operation find count = 21
Omaatla Baloyi | operation insert count 10 | operation find count = 21
Siphosethu Nhlapo | operation insert count 9 | operation find count = 17
Onthatile Smith | operation insert count 9 | operation find count = 19
Reneilwe Maseko | operation insert count 10 | operation find count = 23
Lisakhanya Davids | operation insert count 11 | operation find count = 25
Faith Jack | operation insert count 11 | operation find count = 19
Lingomso Khoza | operation insert count 9 | operation find count = 19
Rethabile Moloi | operation insert count 9 | operation find count = 19
Alwande Mathebula | operation insert count 9 | operation find count = 21
Likuwe Olyn | operation insert count 10 | operation find count = 23
Khayone Daniels | operation insert count 10 | operation find count = 23
Melokuhle Mofokeng | operation insert count 10 | operation find count = 17
Bokang Booysen | operation insert count 9 | operation find count = 15
Noah Moloi | operation insert count 10 | operation find count = 19
Noah Mosia | operation insert count 10 | operation find count = 21
Alunamda Shabangu | operation insert count 8 | operation find count = 19
Mpho Booysen | operation insert count 10 | operation find count = 21
Oratilwe Ngobeni | operation insert count 10 | operation find count = 15
Kamohelo Witbooi | operation insert count 9 | operation find count = 19
Bandile Olyn | operation insert count 10 | operation find count = 21
Othalive Beukes | operation insert count 10 | operation find count = 21
Letlotlo Mkhize | operation insert count 11 | operation find count = 15
Bokang Smith | operation insert count 11 | operation find count = 19
Omaatla Buthelezi | operation insert count 10 | operation find count = 21
Siyabonga Hendricks | operation insert count 10 | operation find count = 13
Bokamoso Ngobeni | operation insert count 10 | operation find count = 19
Luthando Dyantyi | operation insert count 11 | operation find count = 17
Angel Mokoena | operation insert count 11 | operation find count = 17
Letlotlo Motaung | operation insert count 9 | operation find count = 19
Blessing Motaung | operation insert count 10 | operation find count = 21
Lwandle Jacobs | operation insert count 11 | operation find count = 19
Reneilwe Van | operation insert count 10 | operation find count = 21
Amogelang Madikizela | operation insert count 10 | operation find count = 19
Reatlegile Nkosi | operation insert count 10 | operation find count = 19
Katleho Hendricks | operation insert count 9 | operation find count = 23
Karabo Olyn | operation insert count 10 | operation find count = 21
Kamogelo Ndlovu | operation insert count 9 | operation find count = 17
Thato Olyn | operation insert count 12 | operation find count = 21
Othalive Buthelezi | operation insert count 11 | operation find count = 23
Alunamda Abrahams | operation insert count 9 | operation find count = 17
Iminathi Louw | operation insert count 10 | operation find count = 21
Melokuhle Nkosi | operation insert count 10 | operation find count = 17
Sphesihle Mahlangu | operation insert count 11 | operation find count = 19
Isabella Peter | operation insert count 10 | operation find count = 17
Katleho Khoza | operation insert count 8 | operation find count = 21
Blessing Hendricks | operation insert count 7 | operation find count = 11
Lethabo Mokoena | operation insert count 11 | operation find count = 23
Minenhle Radebe | operation insert count 8 | operation find count = 19
Onthatile Baloyi | operation insert count 10 | operation find count = 21
Enzokuhle Tsotetsi | operation insert count 10 | operation find count = 17
Esihle Madikizela | operation insert count 10 | operation find count = 25
Angel Smith | operation insert count 11 | operation find count = 17
Lingomso Booi | operation insert count 11 | operation find count = 21
Enzokuhle Motloung | operation insert count 10 | operation find count = 21
Olerato Mogale | operation insert count 10 | operation find count = 19
Khayone Adams | operation insert count 10 | operation find count = 21
Khayone Davids | operation insert count 10 | operation find count = 19
Bokang Ngobeni | operation insert count 10 | operation find count = 21
Leah Booi | operation insert count 11 | operation find count = 21
Amahle Mosia | operation insert count 10 | operation find count = 21
Esihle Ngobeni | operation insert count 10 | operation find count = 19
Luthando Jack | operation insert count 10 | operation find count = 23
Angel Sithole | operation insert count 9 | operation find count = 23
Sphesihle Mohlala | operation insert count 10 | operation find count = 17
Okuhle Gumede | operation insert count 8 | operation find count = 13
Kamogelo Ndlovu | operation insert count 10 | operation find count = 21
Kamogelo Dyantyi | operation insert count 11 | operation find count = 25
Amahle Molefe | operation insert count 12 | operation find count = 19
Elijah Tshabalala | operation insert count 9 | operation find count = 21
Enzokuhle Tshabalala | operation insert count 9 | operation find count = 19
Nkosenhle Radebe | operation insert count 9 | operation find count = 19
Reatlegile Booi | operation insert count 10 | operation find count = 19
Ofentse Smith | operation insert count 10 | operation find count = 19
Kungawo Mkhize | operation insert count 10 | operation find count = 17
Luthando Booysen | operation insert count 10 | operation find count = 17
Enzokuhle Chauke | operation insert count 10 | operation find count = 21
Luthando Madikizela | operation insert count 10 | operation find count = 25
Bonolo Dlamini | operation insert count 10 | operation find count = 23
Bokamoso Modise | operation insert count 10 | operation find count = 19
Ofentse Abrahams | operation insert count 9 | operation find count = 19
Lingomso Maluleke | operation insert count 10 | operation find count = 15
Onthatile Nkuna | operation insert count 10 | operation find count = 17
Caleb Dlamini | operation insert count 11 | operation find count = 21
Reatlegile Olyn | operation insert count 10 | operation find count = 17
Reatlegile Moeng | operation insert count 10 | operation find count = 25
Alunamda Ngcobo | operation insert count 11 | operation find count = 17
Kungawo Cloete | operation insert count 10 | operation find count = 19
Isabella Abrahams | operation insert count 9 | operation find count = 21
Alunamda Petersen | operation insert count 10 | operation find count = 19
Siphosethu Visagie | operation insert count 10 | operation find count = 19
Jayden Radebe | operation insert count 9 | operation find count = 21
Olerato Mathebula | operation insert count 10 | operation find count = 19
Oratilwe Mosia | operation insert count 10 | operation find count = 21
Bokang Cloete | operation insert count 9 | operation find count = 23
Amahle Mthembu | operation insert count 10 | operation find count = 19
Amogelang Williams | operation insert count 10 | operation find count = 19
Bokang Shabangu | operation insert count 10 | operation find count = 17
Lebogang Mogale | operation insert count 11 | operation find count = 21
Bonolo Motaung | operation insert count 10 | operation find count = 19
Relebohile Mohlala | operation insert count 10 | operation find count = 19
Reatlegile Booi | operation insert count 11 | operation find count = 23
Siphosethu Motloung | operation insert count 10 | operation find count = 19
Kamogelo Nkuna | operation insert count 9 | operation find count = 21
Sphesihle Mudau | operation insert count 10 | operation find count = 17
Katlego Peter | operation insert count 10 | operation find count = 17
Ava Tsotetsi | operation insert count 11 | operation find count = 21
Lisakhanya Klaas | operation insert count 9 | operation find count = 19
Amohelang Ngwenya | operation insert count 10 | operation find count = 21
Tshegofatso Ndlovu | operation insert count 8 | operation find count = 13
Hlelokuhle Modise | operation insert count 10 | operation find count = 17
Reneilwe Mohlala | operation insert count 11 | operation find count = 17
Bandile Mahlangu | operation insert count 11 | operation find count = 21
Kamohelo Maseko | operation insert count 9 | operation find count = 17
Omaatla Daniels | operation insert count 10 | operation find count = 19
Lesedi Nkuna | operation insert count 9 | operation find count = 17
Amogelang Buthelezi | operation insert count 10 | operation find count = 21
Oratilwe Moloi | operation insert count 10 | operation find count = 23
Melokuhle Madikizela | operation insert count 11 | operation find count = 17
Lubanzi Nhlapo | operation insert count 9 | operation find count = 15
Tshegofatso Olyn | operation insert count 11 | operation find count = 23
Siyabonga Mudau | operation insert count 11 | operation find count = 23
Asemahle Mathebula | operation insert count 10 | operation find count = 21
Bayanda Smith | operation insert count 11 | operation find count = 21
Karabo Mahlangu | operation insert count 9 | operation find count = 21
Faith Hendricks | operation insert count 10 | operation find count = 19
Othalive Hendricks | operation insert count 11 | operation find count = 23
Remofilwe Moloi | operation insert count 7 | operation find count = 15
Olerato Abrahams | operation insert count 10 | operation find count = 15
Katlego Mthembu | operation insert count 10 | operation find count = 13
Angel Hendricks | operation insert count 5 | operation find count = 17
Lethabo Moeng | operation insert count 9 | operation find count = 19
Lesedi Mogale | operation insert count 11 | operation find count = 23
Likuwe Modise | operation insert count 10 | operation find count = 23
Okuhle Mkhize | operation insert count 8 | operation find count = 21
Bonolo Davids | operation insert count 10 | operation find count = 19
Faith Ngobeni | operation insert count 10 | operation find count = 21
Kungawo Abrahams | operation insert count 10 | operation find count = 21
Lisakhanya Van | operation insert count 9 | operation find count = 23
Alunamda Tsotetsi | operation insert count 10 | operation find count = 21
Luphawu Tsotetsi | operation insert count 10 | operation find count = 23
Katlego Mahlangu | operation insert count 10 | operation find count = 19
Katleho Buthelezi | operation insert count 11 | operation find count = 23
Lwandle Jacobs | operation insert count 11 | operation find count = 19
Ofentse Hendricks | operation insert count 10 | operation find count = 23
Caleb Abrahams | operation insert count 10 | operation find count = 19
Aphelele Nkuna | operation insert count 10 | operation find count = 19
Naledi Khoza | operation insert count 10 | operation find count = 23
Iminathi Mogale | operation insert count 10 | operation find count = 21
Lethokuhle Moloi | operation insert count 8 | operation find count = 17
Relebohile Motloung | operation insert count 11 | operation find count = 19
Omaatla Motloung | operation insert count 11 | operation find count = 19
Philasande Hendricks | operation insert count 10 | operation find count = 25
Omaatla Nkuna | operation insert count 11 | operation find count = 19
Bandile Mosia | operation insert count 10 | operation find count = 23
Isabella Mokoena | operation insert count 11 | operation find count = 21
Olerato Radebe | operation insert count 10 | operation find count = 19
Lesedi Daniels | operation insert count 10 | operation find count = 21
Kungawo Khoza | operation insert count 9 | operation find count = 21
Omaatla Ngcobo | operation insert count 10 | operation find count = 17
Omaatla Abrahams | operation insert count 10 | operation find count = 21
Aphelele Gumede | operation insert count 9 | operation find count = 23
Luthando Jacobs | operation insert count 11 | operation find count = 21
Alunamda Malatji | operation insert count 11 | operation find count = 19
Iminathi Booi | operation insert count 11 | operation find count = 19
Tshegofatso Ngwenya | operation insert count 10 | operation find count = 23
Okuhle Gumede | operation insert count 11 | operation find count = 21
Ayabonga Chauke | operation insert count 9 | operation find count = 19
Iminathi Abrahams | operation insert count 10 | operation find count = 23
Reatlegile Hendricks | operation insert count 11 | operation find count = 21
Luke Hendricks | operation insert count 10 | operation find count = 21
Amogelang Visagie | operation insert count 10 | operation find count = 19
Bokamoso Gumede | operation insert count 10 | operation find count = 21
Ofentse Mosia | operation insert count 11 | operation find count = 23
Leano Mahlangu | operation insert count 11 | operation find count = 17
Iminathi Modise | operation insert count 11 | operation find count = 19
Olerato Hendricks | operation insert count 11 | operation find count = 17
Letlotlo Madikizela | operation insert count 11 | operation find count = 19
Alwande Dlamini | operation insert count 10 | operation find count = 19
Luphawu Jack | operation insert count 11 | operation find count = 17
Katleho Booysen | operation insert count 11 | operation find count = 19
Melokuhle Dyantyi | operation insert count 11 | operation find count = 15
Leano Nhlapo | operation insert count 10 | operation find count = 19
Rethabile Olyn | operation insert count 11 | operation find count = 19
Bonolo Ndou | operation insert count 10 | operation find count = 15
Letlotlo Baloyi | operation insert count 10 | operation find count = 17
Lethokuhle Ngwenya | operation insert count 11 | operation find count = 23
Khayone Gumede | operation insert count 10 | operation find count = 21
Okuhle Madikizela | operation insert count 11 | operation find count = 19
Junior Buthelezi | operation insert count 11 | operation find count = 19
Onthatile Modise | operation insert count 10 | operation find count = 23
Luphawu Jack | operation insert count 11 | operation find count = 17
Jayden Moeng | operation insert count 8 | operation find count = 19
Liam Ngcobo | operation insert count 11 | operation find count = 19
Warona Ngwenya | operation insert count 11 | operation find count = 21
Likuwe Tshabalala | operation insert count 8 | operation find count = 17
Reatlegile Mudau | operation insert count 7 | operation find count = 17
Katlego Mohlala | operation insert count 8 | operation find count = 17
Sphesihle Motaung | operation insert count 10 | operation find count = 21
Likuwe Molefe | operation insert count 9 | operation find count = 21
Caleb Gumede | operation insert count 11 | operation find count = 25
Kamogelo Ngobeni | operation insert count 11 | operation find count = 17
Kamohelo Dyantyi | operation insert count 11 | operation find count = 23
Tshegofatso Maseko | operation insert count 11 | operation find count = 19
Lethokuhle Tshabalala | operation insert count 10 | operation find count = 19
Leano Mahlangu | operation insert count 11 | operation find count = 17
Lethokuhle Tshabalala | operation insert count 10 | operation find count = 19
Omaatla Molefe | operation insert count 10 | operation find count = 19
Olerato Ngobeni | operation insert count 11 | operation find count = 17
Ava Visagie | operation insert count 10 | operation find count = 25
Likuwe Daniels | operation insert count 10 | operation find count = 17
Oratilwe Madikizela | operation insert count 11 | operation find count = 23
Okuhle Nkosi | operation insert count 10 | operation find count = 17
Kamogelo Adams | operation insert count 11 | operation find count = 19
Likuwe Motaung | operation insert count 10 | operation find count = 23
Melokuhle Khumalo | operation insert count 10 | operation find count = 19
Lethabo Davids | operation insert count 10 | operation find count = 21
Phenyo Mahlangu | operation insert count 10 | operation find count = 23
Banele Adams | operation insert count 11 | operation find count = 19
Thandolwethu Dyantyi | operation insert count 11 | operation find count = 25
Siphosethu Mahlangu | operation insert count 10 | operation find count = 21
Melokuhle Gumede | operation insert count 11 | operation find count = 21
Ofentse Madikizela | operation insert count 11 | operation find count = 21
Likuwe Maseko | operation insert count 9 | operation find count = 15
Phenyo Maluleke | operation insert count 10 | operation find count = 19
Olerato Daniels | operation insert count 11 | operation find count = 21
Banele Gumede | operation insert count 11 | operation find count = 25
Likuwe Nhlapo | operation insert count 10 | operation find count = 21
Luphawu Khumalo | operation insert count 9 | operation find count = 23
Sphesihle Hendricks | operation insert count 11 | operation find count = 23
Angel Hendricks | operation insert count 10 | operation find count = 23
Onthatile Ndou | operation insert count 9 | operation find count = 19
Omphile Visagie | operation insert count 10 | operation find count = 19
Kungawo Mudau | operation insert count 10 | operation find count = 21
Siphosethu Smith | operation insert count 10 | operation find count = 17
Hlelokuhle Ndou | operation insert count 10 | operation find count = 15
Onthatile Peter | operation insert count 9 | operation find count = 13
Phenyo Mofokeng | operation insert count 10 | operation find count = 19
Oratilwe Motloung | operation insert count 10 | operation find count = 15
Katlego Van | operation insert count 10 | operation find count = 17
Okuhle Mthembu | operation insert count 11 | operation find count = 17
Omaatla Abrahams | operation insert count 10 | operation find count = 23
Likuwe Louw | operation insert count 11 | operation find count = 21
Melokuhle Booi | operation insert count 10 | operation find count = 21
Naledi Tsotetsi | operation insert count 10 | operation find count = 17
Amogelang Moeng | operation insert count 10 | operation find count = 17
Sphesihle Mudau | operation insert count 11 | operation find count = 21
Blessing Mokoena | operation insert count 10 | operation find count = 21
Reatlegile Williams | operation insert count 9 | operation find count = 21
Elijah Mohlala | operation insert count 10 | operation find count = 17
Bandile Mahlangu | operation insert count 8 | operation find count = 15
Thandolwethu Mahlangu | operation insert count 9 | operation find count = 21
Leah Nkosi | operation insert count 9 | operation find count = 15
Reatlegile Khoza | operation insert count 10 | operation find count = 17
Othalive Malatji | operation insert count 10 | operation find count = 17
Asemahle Davids | operation insert count 9 | operation find count = 19
Aphelele Nhlapo | operation insert count 12 | operation find count = 21
Nkosenhle Adams | operation insert count 10 | operation find count = 19
Lesedi Mokoena | operation insert count 9 | operation find count = 19
Esihle Ngwenya | operation insert count 9 | operation find count = 17
Reatlegile Olyn | operation insert count 11 | operation find count = 23
Mpho Abrahams | operation insert count 10 | operation find count = 21
Kamohelo Jack | operation insert count 11 | operation find count = 21
Alunamda Hendricks | operation insert count 12 | operation find count = 21
Tshegofatso Malatji | operation insert count 10 | operation find count = 17
Bokamoso Modise | operation insert count 10 | operation find count = 19
Othalive Olyn | operation insert count 11 | operation find count = 21
Onthatile Mthembu | operation insert count 11 | operation find count = 19
Okuhle Mosia | operation insert count 12 | operation find count = 17
Katlego Tsotetsi | operation insert count 11 | operation find count = 23
Katlego Moloi | operation insert count 10 | operation find count = 19
Lingomso Booysen | operation insert count 10 | operation find count = 19
Kungawo Maseko | operation insert count 10 | operation find count = 21
Reatlegile Booi | operation insert count 12 | operation find count = 21
Phenyo Khumalo | operation insert count 10 | operation find count = 17
Lesedi Nhlapo | operation insert count 11 | operation find count = 21
Katlego Modise | operation insert count 11 | operation find count = 21
Siyabonga Hendricks | operation insert count 12 | operation find count = 23
Aphelele Tsotetsi | operation insert count 11 | operation find count = 21
Onthatile Mathebula | operation insert count 12 | operation find count = 13
Mia Ndou | operation insert count 9 | operation find count = 17
Tshegofatso Cloete | operation insert count 11 | operation find count = 17
Omolemo Ngobeni | operation insert count 11 | operation find count = 19
Likuwe Williams | operation insert count 10 | operation find count = 17
Phenyo Sithole | operation insert count 10 | operation find count = 15
Amogelang Williams | operation insert count 10 | operation find count = 19
Olothando Mofokeng | operation insert count 10 | operation find count = 23
Alwande Shabangu | operation insert count 8 | operation find count = 21
Angel Mokoena | operation insert count 10 | operation find count = 21
Luphawu Motaung | operation insert count 10 | operation find count = 23
Remofilwe Molefe | operation insert count 10 | operation find count = 23
Thato Nkosi | operation insert count 10 | operation find count = 21
Amohelang Molefe | operation insert count 11 | operation find count = 21
Iminathi Jacobs | operation insert count 11 | operation find count = 17
Katlego Moloi | operation insert count 10 | operation find count = 19
Bayanda Mathebula | operation insert count 11 | operation find count = 23
Luthando Mathebula | operation insert count 11 | operation find count = 17
Okuhle Mthembu | operation insert count 12 | operation find count = 19
Luke Malatji | operation insert count 11 | operation find count = 17
Lingomso Maluleke | operation insert count 10 | operation find count = 21
Tshegofatso Petersen | operation insert count 9 | operation find count = 19
Kamogelo Ndou | operation insert count 9 | operation find count = 17
Karabo Mokoena | operation insert count 10 | operation find count = 23
Iminathi Jacobs | operation insert count 12 | operation find count = 23
Omphile Mkhize | operation insert count 10 | operation find count = 21
Bandile Nkosi | operation insert count 7 | operation find count = 11
Lwandle Molefe | operation insert count 10 | operation find count = 19
Tshegofatso Buthelezi | operation insert count 11 | operation find count = 21
Lingomso Maseko | operation insert count 10 | operation find count = 21
Reneilwe Gumede | operation insert count 12 | operation find count = 23
Blessing Mokoena | operation insert count 8 | operation find count = 15
Siphesihle Buthelezi | operation insert count 9 | operation find count = 17
Hlelokuhle Modise | operation insert count 10 | operation find count = 21
Esihle Jacobs | operation insert count 12 | operation find count = 23
Lingomso Madikizela | operation insert count 11 | operation find count = 23
Omphile Malatji | operation insert count 10 | operation find count = 21
Amohelang Daniels | operation insert count 11 | operation find count = 19
Faith Mogale | operation insert count 10 | operation find count = 23
Karabo Louw | operation insert count 11 | operation find count = 21
Elijah Mthembu | operation insert count 10 | operation find count = 19
Warona Klaas | operation insert count 10 | operation find count = 21
Lwandle Moloi | operation insert count 10 | operation find count = 21
Lethabo Moeng | operation insert count 9 | operation find count = 19
Rethabile Moloi | operation insert count 9 | operation find count = 19
Katleho Ngobeni | operation insert count 11 | operation find count = 21
Amogelang Buthelezi | operation insert count 11 | operation find count = 23
Katlego Klaas | operation insert count 10 | operation find count = 21
Esihle Davids | operation insert count 9 | operation find count = 19
Leano Ngwenya | operation insert count 10 | operation find count = 15
Onthatile Mathebula | operation insert count 12 | operation find count = 13
Liam Nkuna | operation insert count 10 | operation find count = 19
Hlelokuhle Sithole | operation insert count 10 | operation find count = 21
Likuwe Peter | operation insert count 9 | operation find count = 19
Emihle Ndou | operation insert count 10 | operation find count = 17
Rethabile Baloyi | operation insert count 10 | operation find count = 21
Lethokuhle Smith | operation insert count 10 | operation find count = 19
