Okuhle Booysen | operation insert count 0 | operation find count = 5
Minenhle Van | operation insert count 11 | operation find count = 21
Amogelang Ngobeni | operation insert count 10 | operation find count = 25
Katleho Gumede | operation insert count 8 | operation find count = 13
Omphile Mnisi | operation insert count 10 | operation find count = 21
Ofentse Radebe | operation insert count 10 | operation find count = 17
Tshegofatso Witbooi | operation insert count 10 | operation find count = 23
Lethabo Ndlovu | operation insert count 10 | operation find count = 23
Joshua Khoza | operation insert count 9 | operation find count = 23
Kungawo Mokoena | operation insert count 10 | operation find count = 21
Olothando Ngwenya | operation insert count 12 | operation find count = 17
Bokamoso Mnisi | operation insert count 10 | operation find count = 21
Bayanda Nhlapo | operation insert count 11 | operation find count = 23
Katlego Ndou | operation insert count 10 | operation find count = 23
Melokuhle Modise | operation insert count 10 | operation find count = 13
Amahle Mosia | operation insert count 9 | operation find count = 19
Oratilwe Moloi | operation insert count 12 | operation find count = 23
Reatlegile Khoza | operation insert count 9 | operation find count = 23
Kamogelo Louw | operation insert count 9 | operation find count = 19
Kamogelo Smith | operation insert count 11 | operation find count = 21
Asemahle Nkosi | operation insert count 10 | operation find count = 23
Enzokuhle Abrahams | operation insert count 11 | operation find count = 19
Omphile Van | operation insert count 12 | operation find count = 19
Oratilwe Mofokeng | operation insert count 10 | operation find count = 17
Thandolwethu Jack | operation insert count 9 | operation find count = 19
Mpho Madikizela | operation insert count 11 | operation find count = 21
Angel Abrahams | operation insert count 11 | operation find count = 19
Aphelele Hendricks | operation insert count 9 | operation find count = 19
Alwande Peter | operation insert count 11 | operation find count = 17
Melokuhle Modise | operation insert count 10 | operation find count = 21
Kamogelo Ngobeni | operation insert count 11 | operation find count = 21
Alunamda Klaas | operation insert count 9 | operation find count = 21
Emihle Motaung | operation insert count 9 | operation find count = 19
Enzokuhle Ngcobo | operation insert count 9 | operation find count = 21
Mia Mkhize | operation insert count 10 | operation find count = 21
Iminathi Smith | operation insert count 12 | operation find count = 19
Siyabonga Booysen | operation insert count 11 | operation find count = 11
Lethabo Mogale | operation insert count 12 | operation find count = 23
Thato Peter | operation insert count 5 | operation find count = 9
Caleb Khoza | operation insert count 9 | operation find count = 19
Lethabo Tsotetsi | operation insert count 10 | operation find count = 25
Aphelele Visagie | operation insert count 12 | operation find count = 21
Isabella Olyn | operation insert count 9 | operation find count = 15
Jayden Dlamini | operation insert count 11 | operation find count = 21
Olothando Beukes | operation insert count 9 | operation find count = 19
Lubanzi Smith | operation insert count 11 | operation find count = 23
Tshegofatso Ndlovu | operation insert count 11 | operation find count = 15
Nkosenhle Smith | operation insert count 11 | operation find count = 19
Siphesihle Smith | operation insert count 11 | operation find count = 25
Luke Buthelezi | operation insert count 12 | operation find count = 19
Melokuhle Beukes | operation insert count 10 | operation find count = 17
Tshegofatso Jack | operation insert count 9 | operation find count = 15
Iminathi Booi | operation insert count 11 | operation find count = 17
Enzokuhle Tshabalala | operation insert count 11 | operation find count = 17
Bonolo Mofokeng | operation insert count 10 | operation find count = 21
Melokuhle Mathebula | operation insert count 10 | operation find count = 17
Othalive Ngobeni | operation insert count 11 | operation find count = 27
Lubanzi Modise | operation insert count 10 | operation find count = 21
Thandolwethu Molefe | operation insert count 10 | operation find count = 25
Ofentse Witbooi | operation insert count 11 | operation find count = 25
Amohelang Petersen | operation insert count 12 | operation find count = 23
Lingomso Daniels | operation insert count 10 | operation find count = 17
Siyabonga Visagie | operation insert count 10 | operation find count = 23
Leano Mahlangu | operation insert count 11 | operation find count = 23
Noah Jack | operation insert count 9 | operation find count = 23
Bandile Daniels | operation insert count 9 | operation find count = 17
Tshegofatso Madikizela | operation insert count 9 | operation find count = 23
Likuwe Louw | operation insert count 9 | operation find count = 19
Tshegofatso Mofokeng | operation insert count 10 | operation find count = 19
Angel Jacobs | operation insert count 9 | operation find count = 19
Amahle Mokoena | operation insert count 9 | operation find count = 15
Remofilwe Dyantyi | operation insert count 11 | operation find count = 21
Amahle Gumede | operation insert count 11 | operation find count = 17
Philasande Madikizela | operation insert count 10 | operation find count = 23
Katlego Mokoena | operation insert count 10 | operation find count = 25
Onthatile Olyn | operation insert count 8 | operation find count = 21
Emihle Mthembu | operation insert count 10 | operation find count = 17
Katlego Moloi | operation insert count 9 | operation find count = 23
Ofentse Klaas | operation insert count 6 | operation find count = 15
Tshegofatso Petersen | operation insert count 12 | operation find count = 19
Phenyo Ngobeni | operation insert count 11 | operation find count = 23
Amogelang Khoza | operation insert count 8 | operation find count = 19
Caleb Nhlapo | operation insert count 11 | operation find count = 19
Luthando Jacobs | operation insert count 9 | operation find count = 21
Luke Khumalo | operation insert count 10 | operation find count = 17
Omaatla Hendricks | operation insert count 10 | operation find count = 19
Oratile Malatji | operation insert count 10 | operation find count = 21
Hlelokuhle Jacobs | operation insert count 9 | operation find count = 19
Nkosenhle Nkuna | operation insert count 10 | operation find count = 19
Lethabo Booysen | operation insert count 11 | operation find count = 19
Katleho Olyn | operation insert count 10 | operation find count = 21
Angel Dyantyi | operation insert count 9 | operation find count = 13
Luke Jack | operation insert count 9 | operation find count = 17
Katlego Moloi | operation insert count 9 | operation find count = 25
Elijah Ndlovu | operation insert count 10 | operation find count = 21
Lethabo Adams | operation insert count 11 | operation find count = 17
Lingomso Maseko | operation insert count 9 | operation find count = 23
Esihle Dlamini | operation insert count 10 | operation find count = 21
Siphosethu Smith | operation insert count 12 | operation find count = 21
Katlego Jack | operation insert count 10 | operation find count = 19
Hlelokuhle Buthelezi | operation insert count 11 | operation find count = 15
Alwande Tshabalala | operation insert count 11 | operation find count = 19
Bokamoso Ndlovu | operation insert count 11 | operation find count = 23
Ofentse Smith | operation insert count 11 | operation find count = 17
Amahle Olyn | operation insert count 10 | operation find count = 13
Lethokuhle Ngwenya | operation insert count 11 | operation find count = 23
Melokuhle Mofokeng | operation insert count 9 | operation find count = 21
Alwande Mkhize | operation insert count 9 | operation find count = 23
Remofilwe Mogale | operation insert count 10 | operation find count = 23
Leah Khumalo | operation insert count 9 | operation find count = 19
Bandile Davids | operation insert count 9 | operation find count = 17
Isabella Baloyi | operation insert count 11 | operation find count = 19
Kungawo Maseko | operation insert count 10 | operation find count = 21
Iminathi Mogale | operation insert count 13 | operation find count = 21
Bokang Shabangu | operation insert count 10 | operation find count = 15
Emihle Booysen | operation insert count 10 | operation find count = 19
Liam Malatji | operation insert count 10 | operation find count = 21
Lethokuhle Chauke | operation insert count 10 | operation find count = 21
Luke Khoza | operation insert count 10 | operation find count = 23
Phenyo Nkuna | operation insert count 10 | operation find count = 23
Luphawu Shabangu | operation insert count 11 | operation find count = 19
Siphesihle Mokoena | operation insert count 10 | operation find count = 19
Likuwe Tsotetsi | operation insert count 11 | operation find count = 25
Lingomso Mthembu | operation insert count 11 | operation find count = 15
Junior Van | operation insert count 10 | operation find count = 21
Joshua Khoza | operation insert count 9 | operation find count = 17
Reneilwe Mohlala | operation insert count 9 | operation find count = 21
Othalive Tsotetsi | operation insert count 10 | operation find count = 21
Alunamda Mofokeng | operation insert count 9 | operation find count = 21
Naledi Baloyi | operation insert count 10 | operation find count = 17
Melokuhle Williams | operation insert count 11 | operation find count = 21
Omaatla Booysen | operation insert count 10 | operation find count = 19
Aphelele Mogale | operation insert count 10 | operation find count = 19
Angel Booysen | operation insert count 11 | operation find count = 15
Amahle Mosia | operation insert count 9 | operation find count = 23
Bokamoso Motaung | operation insert count 10 | operation find count = 17
Naledi Maseko | operation insert count 10 | operation find count = 21
Kamogelo Mosia | operation insert count 10 | operation find count = 21
Naledi Ndlovu | operation insert count 11 | operation find count = 21
Warona Petersen | operation insert count 10 | operation find count = 15
Siyabonga Booysen | operation insert count 11 | operation find count = 11
Luphawu Mkhize | operation insert count 11 | operation find count = 13
Katlego Klaas | operation insert count 8 | operation find count = 23
Amogelang Louw | operation insert count 14 | operation find count = 25
Katlego Mkhize | operation insert count 10 | operation find count = 23
Amogelang Motloung | operation insert count 10 | operation find count = 17
Junior Dyantyi | operation insert count 9 | operation find count = 17
Letlotlo Madikizela | operation insert count 9 | operation find count = 23
Melokuhle Radebe | operation insert count 10 | operation find count = 21
Mpho Radebe | operation insert count 12 | operation find count = 19
Omolemo Mohlala | operation insert count 9 | operation find count = 19
Likuwe Nkosi | operation insert count 10 | operation find count = 23
Ofentse Baloyi | operation insert count 11 | operation find count = 21
Joshua Maseko | operation insert count 10 | operation find count = 17
Junior Hendricks | operation insert count 9 | operation find count = 23
Bonolo Hendricks | operation insert count 9 | operation find count = 17
Caleb Madikizela | operation insert count 9 | operation find count = 19
Lesedi Ndou | operation insert count 10 | operation find count = 23
Emihle Buthelezi | operation insert count 10 | operation find count = 23
Nkosenhle Gumede | operation insert count 10 | operation find count = 19
Ava Motaung | operation insert count 10 | operation find count = 15
Ayabonga Moeng | operation insert count 11 | operation find count = 23
Luthando Chauke | operation insert count 9 | operation find count = 17
Lebogang Radebe | operation insert count 11 | operation find count = 13
Enzokuhle Hendricks | operation insert count 13 | operation find count = 23
Onthatile Cloete | operation insert count 10 | operation find count = 15
Ofentse Mudau | operation insert count 10 | operation find count = 19
Olerato Witbooi | operation insert count 11 | operation find count = 23
Relebohile Hendricks | operation insert count 9 | operation find count = 13
Lebogang Petersen | operation insert count 11 | operation find count = 17
Omphile Mkhize | operation insert count 10 | operation find count = 19
Blessing Mnisi | operation insert count 10 | operation find count = 23
Angel Booi | operation insert count 10 | operation find count = 17
Katlego Cloete | operation insert count 11 | operation find count = 21
Bokamoso Nkosi | operation insert count 11 | operation find count = 21
Alwande Nhlapo | operation insert count 12 | operation find count = 21
Khayone Ngobeni | operation insert count 12 | operation find count = 19
Warona Ndlovu | operation insert count 11 | operation find count = 21
Bonolo Dlamini | operation insert count 10 | operation find count = 19
Phenyo Smith | operation insert count 11 | operation find count = 25
Letlotlo Mthembu | operation insert count 11 | operation find count = 17
Leano Adams | operation insert count 11 | operation find count = 19
Leah Mofokeng | operation insert count 9 | operation find count = 23
Amahle Olyn | operation insert count 10 | operation find count = 13
Luke Khoza | operation insert count 10 | operation find count = 23
Khayone Peter | operation insert count 9 | operation find count = 23
Lingomso Motloung | operation insert count 10 | operation find count = 21
Othalive Smith | operation insert count 12 | operation find count = 19
Lethabo Nkuna | operation insert count 10 | operation find count = 23
Ofentse Madikizela | operation insert count 10 | operation find count = 19
Kamogelo Van | operation insert count 11 | operation find count = 23
Junior Van | operation insert count 10 | operation find count = 21
Othalive Baloyi | operation insert count 10 | operation find count = 21
Philasande Modise | operation insert count 10 | operation find count = 23
Okuhle Mkhize | operation insert count 9 | operation find count = 11
Letlotlo Baloyi | operation insert count 11 | operation find count = 19
Iminathi Mosia | operation insert count 10 | operation find count = 23
Banele Hendricks | operation insert count 9 | operation find count = 23
Omolemo Booysen | operation insert count 11 | operation find count = 21
Alunamda Shabangu | operation insert count 10 | operation find count = 25
Kamogelo Daniels | operation insert count 10 | operation find count = 21
Esihle Mofokeng | operation insert count 8 | operation find count = 21
Omaatla Ndou | operation insert count 11 | operation find count = 19
Kamogelo Maseko | operation insert count 10 | operation find count = 19
Tshegofatso Moeng | operation insert count 11 | operation find count = 23
Luthando Klaas | operation insert count 9 | operation find count = 25
Lethabo Mnisi | operation insert count 10 | operation find count = 21
Omphile Beukes | operation insert count 10 | operation find count = 21
Relebohile Mohlala | operation insert count 10 | operation find count = 21
Katleho Davids | operation insert count 9 | operation find count = 21
Ava Ngobeni | operation insert count 11 | operation find count = 19
Nkosenhle Mthembu | operation insert count 8 | operation find count = 11
Remofilwe Dyantyi | operation insert count 11 | operation find count = 21
Omphile Witbooi | operation insert count 11 | operation find count = 23
Minenhle Nkuna | operation insert count 10 | operation find count = 21
Lubanzi Sithole | operation insert count 11 | operation find count = 19
Siyabonga Mnisi | operation insert count 10 | operation find count = 19
Lesedi Mthembu | operation insert count 11 | operation find count = 23
Joshua Maseko | operation insert count 11 | operation find count = 21
Iminathi Buthelezi | operation insert count 10 | operation find count = 21
Blessing Booysen | operation insert count 11 | operation find count = 19
Bayanda Nkuna | operation insert count 11 | operation find count = 19
Ofentse Jacobs | operation insert count 9 | operation find count = 17
Ofentse Radebe | operation insert count 10 | operation find count = 17
Lubanzi Modise | operation insert count 7 | operation find count = 23
Katlego Petersen | operation insert count 12 | operation find count = 21
Lebogang Cloete | operation insert count 11 | operation find count = 21
Reneilwe Abrahams | operation insert count 11 | operation find count = 21
Enzokuhle Gumede | operation insert count 9 | operation find count = 21
Alunamda Malatji | operation insert count 12 | operation find count = 23
Alwande Peter | operation insert count 11 | operation find count = 17
Rorisang Radebe | operation insert count 10 | operation find count = 21
Likuwe Smith | operation insert count 12 | operation find count = 21
Mia Nkosi | operation insert count 10 | operation find count = 23
Siphosethu Modise | operation insert count 10 | operation find count = 21
Naledi Hendricks | operation insert count 10 | operation find count = 11
Warona Visagie | operation insert count 10 | operation find count = 21
Angel Modise | operation insert count 11 | operation find count = 21
Olerato Madikizela | operation insert count 10 | operation find count = 21
Isabella Dlamini | operation insert count 11 | operation find count = 19
Lethokuhle Nhlapo | operation insert count 12 | operation find count = 19
Amahle Khoza | operation insert count 8 | operation find count = 11
Asemahle Witbooi | operation insert count 10 | operation find count = 19
Othalive Smith | operation insert count 12 | operation find count = 19
Olerato Ngwenya | operation insert count 11 | operation find count = 21
Katlego Mohlala | operation insert count 10 | operation find count = 21
Katlego Mofokeng | operation insert count 9 | operation find count = 23
Reneilwe Moloi | operation insert count 11 | operation find count = 25
Lisakhanya Williams | operation insert count 11 | operation find count = 23
Mia Ngobeni | operation insert count 11 | operation find count = 23
Relebohile Mthembu | operation insert count 7 | operation find count = 13
Amohelang Hendricks | operation insert count 8 | operation find count = 15
Nkosenhle Mudau | operation insert count 10 | operation find count = 21
Ayabonga Maluleke | operation insert count 9 | operation find count = 23
Katleho Dlamini | operation insert count 10 | operation find count = 15
Luphawu Shabangu | operation insert count 11 | operation find count = 19
Lingomso Mofokeng | operation insert count 10 | operation find count = 21
Okuhle Molefe | operation insert count 10 | operation find count = 23
Lingomso Mofokeng | operation insert count 10 | operation find count = 21
Lebogang Chauke | operation insert count 10 | operation find count = 23
Omaatla Mofokeng | operation insert count 10 | operation find count = 23
Kungawo Nkosi | operation insert count 11 | operation find count = 27
Ofentse Mnisi | operation insert count 10 | operation find count = 15
Esihle Smith | operation insert count 6 | operation find count = 17
Hlelokuhle Cloete | operation insert count 10 | operation find count = 17
Naledi Shabangu | operation insert count 11 | operation find count = 23
Lwandle Mudau | operation insert count 10 | operation find count = 23
Amahle Motaung | operation insert count 11 | operation find count = 21
Lisakhanya Petersen | operation insert count 11 | operation find count = 15
Olerato Mogale | operation insert count 10 | operation find count = 17
Siphosethu Smith | operation insert count 12 | operation find count = 23
Phenyo Mnisi | operation insert count 10 | operation find count = 25
Luke Nkosi | operation insert count 10 | operation find count = 23
Amogelang Mahlangu | operation insert count 10 | operation find count = 25
Likuwe Tshabalala | operation insert count 11 | operation find count = 19
Tshegofatso Dyantyi | operation insert count 8 | operation find count = 13
Joshua Khoza | operation insert count 9 | operation find count = 23
Luke Mohlala | operation insert count 11 | operation find count = 25
Nkosenhle Beukes | operation insert count 10 | operation find count = 15
Amohelang Ngobeni | operation insert count 11 | operation find count = 25
Omphile Mthembu | operation insert count 11 | operation find count = 15
Lubanzi Nhlapo | operation insert count 12 | operation find count = 23
Bokang Molefe | operation insert count 10 | operation find count = 19
Caleb Shabangu | operation insert count 12 | operation find count = 19
Lwandle Mohlala | operation insert count 7 | operation find count = 21
Sphesihle Maseko | operation insert count 10 | operation find count = 17
Katlego Nkosi | operation insert count 11 | operation find count = 23
Bokamoso Davids | operation insert count 9 | operation find count = 17
Jayden Adams | operation insert count 11 | operation find count = 19
Karabo Dyantyi | operation insert count 5 | operation find count = 7
Asemahle Witbooi | operation insert count 11 | operation find count = 21
Reneilwe Van | operation insert count 12 | operation find count = 13
Oratilwe Louw | operation insert count 10 | operation find count = 17
Aphelele Ngwenya | operation insert count 8 | operation find count = 11
Lisakhanya Motloung | operation insert count 10 | operation find count = 25
Sphesihle Klaas | operation insert count 9 | operation find count = 19
Amogelang Daniels | operation insert count 3 | operation find count = 3
Thato Mkhize | operation insert count 9 | operation find count = 23
Junior Abrahams | operation insert count 10 | operation find count = 15
Lisakhanya Mathebula | operation insert count 12 | operation find count = 23
Minenhle Buthelezi | operation insert count 11 | operation find count = 19
Othalive Mudau | operation insert count 10 | operation find count = 21
Junior Sithole | operation insert count 11 | operation find count = 21
Naledi Ngwenya | operation insert count 12 | operation find count = 19
Khayone Mofokeng | operation insert count 10 | operation find count = 21
Elijah Chauke | operation insert count 10 | operation find count = 19
Olothando Mnisi | operation insert count 9 | operation find count = 21
Omolemo Ndou | operation insert count 11 | operation find count = 27
Philasande Tshabalala | operation insert count 11 | operation find count = 21
Alwande Tshabalala | operation insert count 11 | operation find count = 19
Bayanda Jacobs | operation insert count 9 | operation find count = 19
Tshegofatso Klaas | operation insert count 13 | operation find count = 21
Alunamda Klaas | operation insert count 13 | operation find count = 25
Bonolo Maseko | operation insert count 10 | operation find count = 21
Melokuhle Peter | operation insert count 12 | operation find count = 19
Alwande Dlamini | operation insert count 11 | operation find count = 17
Amohelang Petersen | operation insert count 12 | operation find count = 23
Warona Williams | operation insert count 11 | operation find count = 23
Bayanda Motaung | operation insert count 11 | operation find count = 23
Lethokuhle Booi | operation insert count 11 | operation find count = 17
Melokuhle Modise | operation insert count 10 | operation find count = 21
Warona Dyantyi | operation insert count 9 | operation find count = 19
Lingomso Olyn | operation insert count 9 | operation find count = 17
Tshegofatso Nkosi | operation insert count 11 | operation find count = 19
Katlego Peter | operation insert count 12 | operation find count = 23
Alwande Mahlangu | operation insert count 11 | operation find count = 19
Esihle Smith | operation insert count 11 | operation find count = 21
Asemahle Mathebula | operation insert count 9 | operation find count = 19
Lethabo Buthelezi | operation insert count 7 | operation find count = 17
Rethabile Hendricks | operation insert count 10 | operation find count = 19
Rorisang Khumalo | operation insert count 10 | operation find count = 23
Omaatla Ngwenya | operation insert count 12 | operation find count = 25
Lingomso Mkhize | operation insert count 11 | operation find count = 21
Bokamoso Tsotetsi | operation insert count 10 | operation find count = 23
Thandolwethu Mudau | operation insert count 10 | operation find count = 13
Angel Mahlangu | operation insert count 11 | operation find count = 23
Sphesihle Madikizela | operation insert count 10 | operation find count = 23
Ava Shabangu | operation insert count 10 | operation find count = 19
Phenyo Nkuna | operation insert count 10 | operation find count = 19
Hlelokuhle Motaung | operation insert count 11 | operation find count = 23
Omaatla Witbooi | operation insert count 9 | operation find count = 17
Reatlegile Daniels | operation insert count 9 | operation find count = 17
Iminathi Khoza | operation insert count 8 | operation find count = 21
Naledi Baloyi | operation insert count 10 | operation find count = 17
Tshegofatso Gumede | operation insert count 9 | operation find count = 21
Lesedi Jacobs | operation insert count 9 | operation find count = 15
Melokuhle Radebe | operation insert count 7 | operation find count = 15
Melokuhle Witbooi | operation insert count 12 | operation find count = 21
Mia Williams | operation insert count 11 | operation find count = 19
Siyabonga Davids | operation insert count 10 | operation find count = 21
Banele Baloyi | operation insert count 9 | operation find count = 11
Bokang Moeng | operation insert count 10 | operation find count = 23
Othalive Nkuna | operation insert count 10 | operation find count = 25
Bokang Moeng | operation insert count 10 | operation find count = 23
Karabo Witbooi | operation insert count 11 | operation find count = 23
Iminathi Malatji | operation insert count 10 | operation find count = 17
Bokamoso Nkosi | operation insert count 11 | operation find count = 21
Amahle Mkhize | operation insert count 10 | operation find count = 21
Tshegofatso Motaung | operation insert count 10 | operation find count = 25
Rethabile Malatji | operation insert count 10 | operation find count = 23
Kamogelo Ndou | operation insert count 9 | operation find count = 23
Luphawu Molefe | operation insert count 10 | operation find count = 21
Iminathi Jack | operation insert count 10 | operation find count = 21
Leano Abrahams | operation insert count 10 | operation find count = 15
Leah Booysen | operation insert count 7 | operation find count = 17
Reneilwe Mohlala | operation insert count 11 | operation find count = 15
Relebohile Olyn | operation insert count 8 | operation find count = 17
Lingomso Motloung | operation insert count 7 | operation find count = 19
Rorisang Hendricks | operation insert count 11 | operation find count = 23
Siphesihle Mnisi | operation insert count 10 | operation find count = 21
Jayden Mthembu | operation insert count 11 | operation find count = 21
Lebogang Mofokeng | operation insert count 9 | operation find count = 23
Mia Maluleke | operation insert count 10 | operation find count = 17
Okuhle Cloete | operation insert count 9 | operation find count = 17
Remofilwe Jack | operation insert count 10 | operation find count = 17
Tshegofatso Khoza | operation insert count 9 | operation find count = 19
Caleb Tshabalala | operation insert count 11 | operation find count = 19
Lethabo Mkhize | operation insert count 12 | operation find count = 17
Lebogang Petersen | operation insert count 11 | operation find count = 19
Isabella Mokoena | operation insert count 9 | operation find count = 21
Siphesihle Mahlangu | operation insert count 11 | operation find count = 19
Ava Nkosi | operation insert count 11 | operation find count = 17
Rethabile Hendricks | operation insert count 10 | operation find count = 19
Thandolwethu Nkuna | operation insert count 11 | operation find count = 19
Amogelang Moeng | operation insert count 11 | operation find count = 27
Lisakhanya Petersen | operation insert count 11 | operation find count = 15
Karabo Beukes | operation insert count 10 | operation find count = 23
Omaatla Ngcobo | operation insert count 11 | operation find count = 25
Aphelele Ngwenya | operation insert count 8 | operation find count = 11
Melokuhle Booi | operation insert count 11 | operation find count = 19
Thandolwethu Mosia | operation insert count 10 | operation find count = 23
Enzokuhle Chauke | operation insert count 10 | operation find count = 15
Warona Malatji | operation insert count 10 | operation find count = 21
Bokamoso Moloi | operation insert count 11 | operation find count = 19
Omolemo Baloyi | operation insert count 8 | operation find count = 19
Iminathi Buthelezi | operation insert count 11 | operation find count = 19
Iminathi Khoza | operation insert count 8 | operation find count = 21
Katlego Tsotetsi | operation insert count 12 | operation find count = 23
Siyabonga Gumede | operation insert count 9 | operation find count = 21
Lwandle Moloi | operation insert count 10 | operation find count = 21
Kungawo Mathebula | operation insert count 11 | operation find count = 25
Onthatile Mathebula | operation insert count 10 | operation find count = 21
Reatlegile Malatji | operation insert count 10 | operation find count = 23
Noah Van | operation insert count 11 | operation find count = 21
Emihle Ngwenya | operation insert count 12 | operation find count = 19
Aphelele Hendricks | operation insert count 9 | operation find count = 19
Lethokuhle Maluleke | operation insert count 9 | operation find count = 23
Katlego Nkosi | operation insert count 12 | operation find count = 21
Iminathi Mogale | operation insert count 13 | operation find count = 21
Lesedi Booysen | operation insert count 11 | operation find count = 19
Karabo Maseko | operation insert count 10 | operation find count = 15
Relebohile Mogale | operation insert count 11 | operation find count = 19
Joshua Jack | operation insert count 10 | operation find count = 17
Melokuhle Ndou | operation insert count 11 | operation find count = 21
Ofentse Davids | operation insert count 9 | operation find count = 11
Melokuhle Dyantyi | operation insert count 9 | operation find count = 15
Olerato Nhlapo | operation insert count 12 | operation find count = 19
Mia Van | operation insert count 11 | operation find count = 17
Lethabo Motaung | operation insert count 10 | operation find count = 19
Bonolo Davids | operation insert count 10 | operation find count = 13
Othalive Peter | operation insert count 11 | operation find count = 23
Lesedi Jack | operation insert count 10 | operation find count = 15
Karabo Madikizela | operation insert count 10 | operation find count = 21
Kungawo Mokoena | operation insert count 10 | operation find count = 21
Likuwe Nhlapo | operation insert count 12 | operation find count = 21
Katlego Mathebula | operation insert count 11 | operation find count = 23
Onthatile Mofokeng | operation insert count 11 | operation find count = 23
Tshegofatso Jack | operation insert count 9 | operation find count = 15
Ofentse Cloete | operation insert count 7 | operation find count = 13
Kamohelo Malatji | operation insert count 10 | operation find count = 23
Asemahle Abrahams | operation insert count 12 | operation find count = 17
Othalive Williams | operation insert count 11 | operation find count = 21
Olothando Klaas | operation insert count 10 | operation find count = 23
Kamogelo Nkuna | operation insert count 11 | operation find count = 19
Lubanzi Maluleke | operation insert count 10 | operation find count = 25
Mpho Mahlangu | operation insert count 11 | operation find count = 19
Amahle Khoza | operation insert count 9 | operation find count = 21
Thato Madikizela | operation insert count 6 | operation find count = 11
Rethabile Modise | operation insert count 9 | operation find count = 23
Joshua Booi | operation insert count 10 | operation find count = 21
Ofentse Radebe | operation insert count 10 | operation find count = 17
Junior Tshabalala | operation insert count 11 | operation find count = 15
Bayanda Mofokeng | operation insert count 10 | operation find count = 23
Amahle Gumede | operation insert count 11 | operation find count = 17
Iminathi Shabangu | operation insert count 8 | operation find count = 13
Ofentse Motloung | operation insert count 10 | operation find count = 25
Hlelokuhle Mudau | operation insert count 5 | operation find count = 1
Tshegofatso Radebe | operation insert count 11 | operation find count = 25
Alunamda Klaas | operation insert count 9 | operation find count = 21
Asemahle Petersen | operation insert count 11 | operation find count = 21
Esihle Baloyi | operation insert count 11 | operation find count = 21
Likuwe Klaas | operation insert count 9 | operation find count = 21
Leano Williams | operation insert count 11 | operation find count = 19
Minenhle Mokoena | operation insert count 9 | operation find count = 23
Lethokuhle Adams | operation insert count 11 | operation find count = 21
Ayabonga Ngwenya | operation insert count 12 | operation find count = 23
Khayone Ngobeni | operation insert count 12 | operation find count = 19
Lethokuhle Maluleke | operation insert count 9 | operation find count = 23
Mpho Ndlovu | operation insert count 11 | operation find count = 19
Ava Hendricks | operation insert count 10 | operation find count = 25
Luke Tshabalala | operation insert count 11 | operation find count = 21
Hlelokuhle Olyn | operation insert count 10 | operation find count = 21
Remofilwe Baloyi | operation insert count 11 | operation find count = 21
Phenyo Maseko | operation insert count 10 | operation find count = 21
Nkosenhle Nkuna | operation insert count 10 | operation find count = 19
Mpho Mahlangu | operation insert count 11 | operation find count = 19
Bandile Visagie | operation insert count 11 | operation find count = 21
Ayabonga Sithole | operation insert count 11 | operation find count = 21
Bokang Smith | operation insert count 11 | operation find count = 19
Luke Mathebula | operation insert count 11 | operation find count = 23
Remofilwe Jack | operation insert count 10 | operation find count = 17
Thandolwethu Nkosi | operation insert count 12 | operation find count = 27
Bokamoso Ndlovu | operation insert count 11 | operation find count = 23
Katleho Mathebula | operation insert count 11 | operation find count = 23
Bayanda Jacobs | operation insert count 10 | operation find count = 15
Asemahle Molefe | operation insert count 11 | operation find count = 21
Likuwe Ngcobo | operation insert count 11 | operation find count = 23
Leah Nhlapo | operation insert count 12 | operation find count = 21
Aphelele Klaas | operation insert count 9 | operation find count = 23
Kungawo Shabangu | operation insert count 13 | operation find count = 21
Lethabo Motloung | operation insert count 12 | operation find count = 17
Amohelang Ngwenya | operation insert count 12 | operation find count = 23
Minenhle Van | operation insert count 12 | operation find count = 23
Oratile Klaas | operation insert count 10 | operation find count = 17
Omolemo Motaung | operation insert count 10 | operation find count = 21
Remofilwe Motloung | operation insert count 10 | operation find count = 17
Luphawu Malatji | operation insert count 10 | operation find count = 21
Likuwe Van | operation insert count 12 | operation find count = 21
Melokuhle Hendricks | operation insert count 10 | operation find count = 15
Hlelokuhle Olyn | operation insert count 10 | operation find count = 21
Bokamoso Sithole | operation insert count 9 | operation find count = 15
Tshegofatso Hendricks | operation insert count 10 | operation find count = 15
Bonolo Dlamini | operation insert count 10 | operation find count = 19
Katlego Abrahams | operation insert count 10 | operation find count = 17
Karabo Daniels | operation insert count 10 | operation find count = 17
Leano Witbooi | operation insert count 10 | operation find count = 19
Khayone Gumede | operation insert count 10 | operation find count = 17
Sphesihle Mudau | operation insert count 11 | operation find count = 27
Lisakhanya Mohlala | operation insert count 11 | operation find count = 21
Reneilwe Madikizela | operation insert count 10 | operation find count = 23
Noah Baloyi | operation insert count 12 | operation find count = 23
Phenyo Jack | operation insert count 11 | operation find count = 23
Esihle Jack | operation insert count 9 | operation find count = 23
Leano Van | operation insert count 12 | operation find count = 21
Siphesihle Khoza | operation insert count 10 | operation find count = 21
Kamogelo Abrahams | operation insert count 12 | operation find count = 19
Bokamoso Visagie | operation insert count 11 | operation find count = 15
Asemahle Madikizela | operation insert count 9 | operation find count = 19
Lesedi Daniels | operation insert count 11 | operation find count = 23
Omaatla Motloung | operation insert count 11 | operation find count = 21
Melokuhle Modise | operation insert count 10 | operation find count = 25
